tahun_keluaran,nama_laptop,cpu,ram_gb,storage_gb,gpu,ukuran_layar_inch,resolusi_lebar,resolusi_tinggi,tipe_panel,kapasitas_baterai_wh,sistem_operasi,fitur_keamanan,harga_idr
2019,Asus ROG Zephyrus 42,AMD Ryzen 7 5800H,4,1024,NVIDIA RTX 3050,15.6,1366,768,TN,82,Windows 10 Home,Fingerprint,9000000
2021,Lenovo IdeaPad Slim 82,AMD Ryzen 3 3200U,4,512,NVIDIA RTX 3050,16.1,1920,1080,IPS,55,Windows 10 Home,Firmware TPM,12900000
2023,HP Victus 38,Intel Core i5-1240P,16,512,AMD Radeon Graphics,15.6,1366,768,OLED,71,Windows 11 Home,Kensington Lock,15300000
2019,Acer Aspire 81,Intel Core i7-1165G7,16,256,Intel UHD Graphics,16.0,1920,1200,TN,69,Windows 11 Home,Firmware TPM,7700000
2021,Apple MacBook Air 59,Apple M4 10-Core,24,256,Apple M4 10-Core GPU,14.0,1920,1080,Liquid Retina,57,macOS,Touch ID Apple T2,34500000
2019,Dell Vostro 79,Intel Core i5-1035G1,8,512,AMD Radeon Graphics,16.0,1920,1080,IPS 144Hz,90,Windows 11 Pro,Fingerprint,7300000
2023,Apple MacBook Air 40,Apple M3 8-Core,24,256,Apple M3 8-Core GPU,13.6,3024,1964,Liquid Retina,71,macOS,Touch ID,29400000
2025,Acer Predator 29,Intel Core i9-16900HX,64,2048,NVIDIA RTX 4070,16.0,2560,1600,Mini LED 240Hz,92,Windows 11 Home,Fingerprint,48000000
2021,Lenovo ThinkPad 22,Intel Core i5-1035G1,16,256,NVIDIA GTX 1650,13.3,2560,1600,IPS 144Hz,59,Windows 10 Home,Kensington Lock,15200000
2026,HP OmniBook 12,Snapdragon X 2nd Gen,32,2048,Qualcomm Adreno,14.0,1920,1080,OLED 120Hz,62,Windows 11 Pro,Kensington Lock,22300000
2022,Dell Vostro 75,AMD Ryzen 9 8945HS,32,512,Intel Arc Graphics,16.1,2880,1800,OLED,65,Windows 10 Home,Privacy Shutter,19800000
